Area Code,Area Name,Total recorded crime (excluding fraud),Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment4,Death or serious injury - unlawful driving4,Sexual offences,Robbery,Theft offences,Burglary,"Residential burglary5,6","Non-residential  burglary5,6",Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
E23000026,Bedfordshire,"52,540","13,965",7,"4,763","5,830","3,356",9,"1,529",832,"24,623","6,362","4,660","1,702","6,983",842,"1,214","3,948","5,274","6,060","1,131",408,"3,177",815
E23000023,Cambridgeshire,"64,987","17,148",8,"5,120","9,229","2,768",23,"1,850",753,"30,197","5,678","3,846","1,832","6,285",983,"4,271","5,320","7,660","7,860","1,327",514,"4,154","1,184"
E23000028,Essex,"144,037","48,218",18,"13,846","18,860","15,458",36,"3,846","1,566","54,411","12,371","8,815","3,556","14,786","1,597","2,226","10,217","13,214","15,875","3,482","2,082","11,448","3,109"
E23000027,Hertfordshire,"84,966","24,802",12,"8,959","10,965","4,847",19,"2,260",895,"35,588","6,649","4,863","1,786","8,703","1,343","1,445","8,511","8,937","9,489","3,213",692,"6,368","1,659"
E23000024,Norfolk,"57,222","19,881",5,"6,791","9,356","3,717",12,"2,474",489,"17,899","3,681","2,452","1,229","2,827",520,"1,247","4,070","5,554","7,112","2,104",523,"5,181","1,559"
E23000025,Suffolk,"53,788","18,095",4,"5,601","8,029","4,454",7,"2,146",436,"18,598","4,168","2,690","1,478","3,848",579,"1,139","4,109","4,755","6,723","1,360",421,"4,944","1,065"
E12000007,London,"832,793","209,161",145,"77,299","85,078","46,592",47,"20,504","33,271","410,059","79,751","59,200","20,551","109,461","43,915","19,824","45,411","111,697","58,089","35,390","7,468","48,667","10,184"
E23000034,City of London,"6,485","1,071",1,443,460,167,0,107,97,"4,045",330,15,315,253,666,423,833,"1,540",236,372,70,370,117
E23000001,Metropolitan Police,"826,308","208,090",144,"76,856","84,618","46,425",47,"20,397","33,174","406,014","79,421","59,185","20,236","109,208","43,249","19,401","44,578","110,157","57,853","35,018","7,398","48,297","10,067"
E12000008,South East,"702,796","233,099",92,"78,001","107,866","47,030",110,"24,471","5,876","255,864","48,854","33,306","15,548","56,650","7,731","15,278","53,813","73,538","84,283","17,581","6,300","60,376","14,946"
E23000030,Hampshire,"160,193","54,966",17,"21,513","24,161","9,260",15,"5,646","1,186","56,627","11,308","7,501","3,807","13,078","1,304","4,010","13,332","13,595","18,779","3,600","1,525","15,146","2,718"
E23000032,Kent,"197,599","76,411",13,"20,783","36,239","19,316",60,"7,051","1,750","58,032","11,763","8,321","3,442","12,876","1,105","1,892","12,986","17,410","22,980","2,958","1,300","21,642","5,475"
E23000031,Surrey,"73,586","22,091",6,"7,090","10,313","4,674",8,"2,295",431,"27,124","5,996","4,527","1,469","6,211",549,"1,303","4,180","8,885","9,363","2,661",584,"7,471","1,566"
E23000033,Sussex,"112,765","36,620",35,"13,355","16,524","6,697",9,"4,167",985,"40,223","7,372","4,495","2,877","8,067","1,538","2,304","8,078","12,864","13,699","3,326","1,528","9,961","2,256"
E23000029,Thames Valley,"158,653","43,011",21,"15,260","20,629","7,083",18,"5,312","1,524","73,858","12,415","8,462","3,953","16,418","3,235","5,769","15,237","20,784","19,462","5,036","1,363","6,156","2,931"
E12000009,South West,"372,472","121,672",47,"44,753","48,057","28,756",59,"13,558","2,931","136,643","28,457","17,644","10,813","27,517","3,283","7,526","30,418","39,442","47,338","10,252","2,522","31,669","5,887"
E23000036,Avon and Somerset8,"137,793","42,604",15,"12,795","18,010","11,782",2,"4,518","1,388","50,559","10,445","7,206","3,239","11,039","1,094","3,403","10,916","13,662","15,579","2,897",800,"17,614","1,834"
E23000035,Devon and Cornwall,"105,241","39,448",19,"15,166","14,792","9,433",38,"4,565",552,"31,857","5,875","2,590","3,285","5,534",888,908,"7,765","10,887","14,607","3,866",896,"7,254","2,196"
E23000039,Dorset,"51,761","16,831",5,"5,965","7,240","3,614",7,"1,763",343,"20,708","4,605","2,640","1,965","3,688",491,"1,404","4,049","6,471","6,852","1,489",301,"2,809",665
E23000037,Gloucestershire,"34,656","9,247",7,"5,214","2,271","1,745",10,"1,052",348,"16,475","3,882","2,775","1,107","4,013",400,913,"3,388","3,879","4,515",980,234,"1,356",449
E23000038,Wiltshire,"43,021","13,542",1,"5,613","5,744","2,182",2,"1,660",300,"17,044","3,650","2,433","1,217","3,243",410,898,"4,300","4,543","5,785","1,020",291,"2,636",743
W92000004,WALES,"245,520","83,705",25,"27,616","31,760","24,279",25,"8,586","1,089","78,916","16,307","11,247","5,060","14,484","1,864","3,106","20,310","22,845","34,011","8,502","1,299","24,140","5,272"
W15000004,Dyfed-Powys,"26,175","9,322",4,"2,963","3,895","2,460",0,941,62,"7,788","1,582","1,007",575,913,88,169,"1,995","3,041","4,175","1,788",151,"1,435",513
W15000002,Gwent,"54,784","17,930",5,"5,458","6,961","5,504",2,"1,388",295,"15,951","3,627","2,563","1,064","3,247",363,342,"3,652","4,720","9,253","1,317",209,"7,077","1,364"
W15000001,North Wales,"55,882","21,879",4,"7,142","9,530","5,198",5,"3,063",207,"15,811","3,782","2,570","1,212","2,022",225,532,"4,187","5,063","7,562","1,406",303,"4,404","1,247"
W15000003,South Wales,"108,679","34,574",12,"12,053","11,374","11,117",18,"3,194",525,"39,366","7,316","5,107","2,209","8,302","1,188","2,063","10,476","10,021","13,021","3,991",636,"11,224","2,148"
